"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"silks_poli";1;"LOGO";;;
2;"U8,U7";"SOIC-8_3.9x4.9mm_P1.27mm";2;"NE5532";;;
3;"U13";"SOIC-8_3.9x4.9mm_P1.27mm";1;"EPCQ4ASI8N";;;
4;"J14";"PinHeader_2x03_P2.54mm_Vertical";1;"ICSP";;;
5;"J7";"IDC-Header_2x06_P2.54mm_Vertical";1;"AS";;;
6;"J5";"IDC-Header_2x06_P2.54mm_Vertical";1;"JTAG";;;
7;"J4";"PinHeader_2x14_P2.54mm_Vertical";1;"P1";;;
8;"Y1";"Crystal_HC18-U_Vertical";1;"16MHz xtal";;;
9;"X1";"Crystal_SMD_5032-4Pin_5.0x3.2mm";1;"SG5032";;;
10;"U18";"MODULE_DM-OLED096-636";1;"DM-OLED096-636";;;
11;"U17";"SOP-8_6.62x9.15mm_P2.54mm";1;"6N137";;;
12;"U16,U15";"SOT-23-6";2;"DAC121S101";;;
13;"U14";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q64";;;
14;"U12,U11";"TSSOP-10_3x3mm_P0.5mm";2;"ADS1115IDGS";;;
15;"U10";"SOT-223-3_TabPin2";1;"AMS1117-1.2";;;
16;"U9";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
17;"U6,U5";"Converter_DCDC_muRata_CRE1xxxxxxSC_THT";2;"B1212S";;;
18;"U4";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
19;"U3";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
20;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328PB-AU";;;
21;"U1";"QFP50P2200X2200X160-144N";1;"EP2C5T144C8N";;;
22;"SW6";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"ATMEGA_in_sw";;;
23;"SW5";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"ATMEGA_reset";;;
24;"SW4";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"FPGA_STORE";;;
25;"SW3";"MTS-103";1;"FPGA_MODE";;;
26;"SW2";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"FPGA_reset";;;
27;"SW1";"MTS-103";1;"SW_PWR";;;
28;"RV10,RV9";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";2;"R_POT";;;
29;"RV8";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"POT_LVL";;;
30;"RV7";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"POT_SH";;;
31;"RV6";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"POT_R";;;
32;"RV5";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"POT_S";;;
33;"RV4";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"POT_D";;;
34;"RV3";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"POT_A";;;
35;"RV2";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"R_ATT_2";;;
36;"RV1";"Potentiometer_Alpha_RD901F-40-00D_Single_Vertical";1;"R_ATT_1";;;
37;"R32,R28,R27,R25,R24,R19";"R_0805_2012Metric";6;"220";;;
38;"R31,R30,R29,R26,R15,R14,R12";"R_0603_1608Metric";7;"1k";;;
39;"R23,R22,R21,R20,R18,R17,R16,R13,R11,R10,R9,R8,R7,R6,R5,R4,R3,R1";"R_0402_1005Metric";18;"10k";;;
40;"R2";"R_1206_3216Metric";1;"1k";;;
41;"J19";"PinHeader_2x06_P2.54mm_Vertical";1;"PWR_conn";;;
42;"J18";"PinHeader_1x02_P2.54mm_Vertical";1;"DAC_OUT_B";;;
43;"J17";"PinHeader_1x02_P2.54mm_Vertical";1;"DAC_OUT_A";;;
44;"J16";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
45;"J15";"PinHeader_1x08_P2.54mm_Vertical";1;"ATMEGA_D0:7";;;
46;"J13";"PinHeader_1x02_P2.54mm_Vertical";1;"ATMEGA_I2C_TP";;;
47;"J12";"PinHeader_1x04_P2.54mm_Vertical";1;"ATMEGA_A0:3";;;
48;"J11";"PinHeader_1x02_P2.54mm_Vertical";1;"ATMEGA_A6_A7";;;
49;"J10";"DIN-504-M10";1;"DIN-5_Connector";;;
50;"J9";"PinHeader_2x14_P2.54mm_Vertical";1;"P4";;;
51;"J8";"PinHeader_2x14_P2.54mm_Vertical";1;"P3";;;
52;"J6";"PinHeader_2x14_P2.54mm_Vertical";1;"P2";;;
53;"J3";"PJ-307";1;"AUDIO_OUT_B";;;
54;"J2";"PJ-307";1;"AUDIO_OUT_A";;;
55;"J1";"BarrelJack_Horizontal";1;"Barrel Jack";;;
56;"D8";"LED_0805_2012Metric";1;"OUT_LED";;;
57;"D7";"LED_0805_2012Metric";1;"CBUS1_LED";;;
58;"D6";"LED_0805_2012Metric";1;"CBUS0_LED";;;
59;"D5";"LED_0805_2012Metric";1;"MIDI_LED";;;
60;"D4,D1";"D_SMA";2;"MDD-M7";;;
61;"D3";"LED_0805_2012Metric";1;"MODE_LED";;;
62;"D2";"LED_0805_2012Metric";1;"LED";;;
63;"C40,C39";"C_0603_1608Metric";2;"15p";;;
64;"C38,C37,C34,C26,C24,C22,C20,C19,C18,C17,C16,C12,C10,C4";"C_0402_1005Metric";14;"100n";;;
65;"C36,C35,C33,C32,C31,C30,C29,C28,C27,C6,C5,C2,C1";"C_0805_2012Metric";13;"2.2u";;;
66;"C25,C23";"CP_EIA-3216-18_Kemet-A";2;"10u";;;
67;"C21";"C_1206_3216Metric";1;"10u";;;
68;"C15,C11,C9";"C_0805_2012Metric";3;"22u";;;
69;"C14,C13";"C_0805_2012Metric";2;"470p";;;
70;"C8,C7";"C_0805_2012Metric";2;"4.7u";;;
71;"C3";"C_0603_1608Metric";1;"470n";;;
